Id,SalePrice
1461,125683.72463278196
1462,159292.25258317986
1463,189059.8895964589
1464,184897.6333499186
1465,202400.41169369768
1466,175089.56322294223
1467,178840.633406081
1468,162103.74417270737
1469,187512.68435822468
1470,126125.797346174
1471,212927.8215876949
1472,100260.62802717174
1473,92132.54274992824
1474,150368.75616307708
1475,136017.79261834195
1476,463520.2614491298
1477,266092.26000223105
1478,302400.8329654589
1479,293901.4311190127
1480,553628.6192243289
1481,306835.15915623505
1482,218360.44750796954
1483,175917.82802466213
1484,172249.6471667114
1485,184500.383509595
1486,192830.3752197012
1487,368309.85427190585
1488,247924.91714860246
1489,201029.21162518524
1490,200150.33635753457
1491,190335.11739685028
1492,95131.9268025362
1493,203842.96809340394
1494,313065.82622691005
1495,290189.4126169696
1496,229354.67466818067
1497,173531.21742358728
1498,163658.61618126836
1499,165793.69984421736
1500,142969.79670957924
1501,173176.73688204275
1502,159953.77883305997
1503,290958.4545541416
1504,235502.45404360344
1505,219056.9847373386
1506,185502.99790968437
1507,241992.85593634154
1508,203039.4947790417
1509,154683.45976692854
1510,143435.65781026773
1511,140396.8786836397
1512,166047.65544489748
1513,148805.73269521966
1514,186310.5735389921
1515,201443.84126907832
1516,171399.12461562085
1517,157638.62846000987
1518,131417.76980279482
1519,233624.3984680707
1520,130461.45008766111
1521,133729.8742933679
1522,170084.14651910524
1523,110175.63709304953
1524,126896.5175779761
1525,127139.74805750848
1526,127057.86931357921
1527,102482.73164416711
1528,136770.72020833095
1529,142622.58753430648
1530,182375.41598918868
1531,112903.3425036897
1532,111801.04387530951
1533,158678.40559572453
1534,123323.95475998441
1535,166864.4400802638
1536,112486.6419329593
1537,79871.43156183537
1538,188874.03940447464
1539,230189.81115086484
1540,107521.36924409866
1541,143813.34547074407
1542,150587.06228849062
1543,225120.69468922814
1544,96911.72715543983
1545,101204.12365244333
1546,122569.04856186942
1547,130771.66059611681
1548,133878.6062418393
1549,105625.14741786987
1550,138677.52826525687
1551,120481.62172200838
1552,158598.8287666805
1553,159695.90400746613
1554,115839.95711630829
1555,174547.39707831718
1556,77986.31094497451
1557,109240.54709225046
1558,89354.38642934978
1559,90985.12149433813
1560,142968.77879667783
1561,154318.3766484732
1562,130771.2016664086
1563,120048.49825857236
1564,152567.38259693756
1565,153645.81976249625
1566,241146.80741069224
1567,73439.60359159944
1568,218464.78869680656
1569,131415.14510153432
1570,126948.30450485999
1571,127254.56885391992
1572,150351.14327566914
1573,293186.34934169654
1574,121853.69622766982
1575,226052.8329157529
1576,223686.56902666506
1577,214025.98108855955
1578,151448.34170485236
1579,151459.07584699485
1580,193250.36726609909
1581,152778.78954891875
1582,127392.90661036632
1583,355687.0911202192
1584,223377.4705372835
1585,138972.99746873515
1586,84910.89819823766
1587,97735.86154299985
1588,139883.22956815307
1589,109980.61168566233
1590,133745.72477046907
1591,99246.34203341378
1592,129769.50566932927
1593,127777.9552352586
1594,109769.6642834851
1595,111980.292288462
1596,217385.0147321959
1597,157210.3736217006
1598,203759.37913313022
1599,204521.11436698743
1600,196791.88915692482
1601,72471.67976642198
1602,102128.74456645148
1603,85662.8088354282
1604,275928.4567378304
1605,258585.57973421706
1606,163081.25419891396
1607,179178.3918487776
1608,224022.90810413077
1609,213378.7440965536
1610,150296.86049800375
1611,147140.28419047728
1612,164316.45558099312
1613,165812.7927174744
1614,122801.87876717169
1615,94288.11186246718
1616,64361.479925502776
1617,91624.20489238494
1618,128525.4374188355
1619,152080.85683968387
1620,125327.81549994869
1621,138475.20959517398
1622,136280.39508276948
1623,313769.6811358019
1624,210266.12914168322
1625,130469.60178567025
1626,164977.72634863807
1627,192120.36567019077
1628,270221.6478798625
1629,188959.74457508652
1630,362751.99521622824
1631,229562.84248765258
1632,245049.5910270569
1633,180805.70009726172
1634,181455.95556094902
1635,176987.8946365536
1636,155492.09291416302
1637,180330.25135797076
1638,217390.66838564543
1639,181292.82814847672
1640,266029.99287601386
1641,184769.23958316032
1642,212862.0173373228
1643,226009.0686216839
1644,227137.15451098018
1645,182284.64827513383
1646,151442.09341708675
1647,171834.39570667574
1648,128018.65479865669
1649,133128.94994709577
